leagueId,queueType,tier,rank,summonerId,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
b05f8ed3-b9be-4d98-a17b-9d0d45485ccb,RANKED_SOLO_5x5,GOLD,I,iJf1rpouceV-bOHTzboHxZuoMNd9H3yBUOSjz3Rntr2DqrAZ,32,132,113,False,False,False,False
4dad1c40-276a-45fa-8f8e-228dbe2aab5a,RANKED_SOLO_5x5,GOLD,I,e3rbHBThKi1abk0OL_bxUXTlERLMo1ZH6vhKC_lFXWX0A6jR,55,5,3,False,False,False,False
22fe2f42-87c3-4b17-b71b-9df04da76ec4,RANKED_SOLO_5x5,GOLD,I,n_o7zwvq6kMbYpUTFYQrzsEIWA4041-rS5AH0Y0wOwx4lVGc,41,48,54,False,False,True,False
49181215-99f8-4402-82f8-07dd0d355afa,RANKED_SOLO_5x5,GOLD,I,civCirAdpTESb42v2VSsR25-hC2cUTMvNcfGtIPKjaxCzY3U,96,23,27,False,False,False,False
a9fe7de3-73b2-4579-bde8-a48a95874bc9,RANKED_SOLO_5x5,GOLD,I,WAJUHQe5nahklSDxH2Vqp_bfRF0lI9a9YSN9xa8ctVNLGo24,52,106,115,False,False,True,False
5a24a069-a114-4b26-87dd-05f160451e40,RANKED_SOLO_5x5,GOLD,I,GmdoGn19Jx6UGAE9w1Tvv2d8Q4wnKVLOBOnc3cgVI0xgX2in,74,1,4,False,False,False,False
df3dc909-0628-4500-98ba-313c78ff1095,RANKED_SOLO_5x5,GOLD,I,UkVVCae5tSr4UZL9mdaIykF99sPkAoaphsg1LrV_RQ-dlJGm,59,255,256,False,False,True,False
81c38913-d223-4be2-9390-18325166ac53,RANKED_SOLO_5x5,GOLD,I,krqgR5ABS94CRvn62vMMEXYrExDrvZaEO8D10Q3hYkqm0PI5,40,6,6,False,False,False,False
327818d9-0709-439d-b779-cf5e110a23e9,RANKED_SOLO_5x5,GOLD,I,YZQQU7139d1nnpHbL69PmBTo0RQi5Xs3gcevj3s3xIk49Mu1,64,114,103,False,False,True,False
0c559c2f-0e75-4416-a97a-ecc20b2c5f0c,RANKED_SOLO_5x5,GOLD,I,jCVHkir0duAH9TNMPsRwl6wxodb0OmrZbVJUM79kX-TH_DkL,6,36,37,False,False,False,False
b572c21b-8577-4c17-a78e-8c1aef6316e6,RANKED_SOLO_5x5,GOLD,I,tSr2RpGVGEzo-eyue8iaiLieisdP4-yUKzmrxOtRZO6OKupP,98,33,35,False,False,False,False
4dccc0bb-4b4b-4cd4-af4f-cbd7c4763bce,RANKED_SOLO_5x5,GOLD,I,tyh5UjrikunDDRHD5lICPmitnI-gP0uoM0L5SzWzzRdl1NTd,67,4,4,False,False,False,True
ae66eb8f-d871-429b-8c17-5d3b0c7318f3,RANKED_SOLO_5x5,GOLD,I,YCVfybyF5oC_TyHuR00Hy7NnAVWvWW_I32yz8BwurI_ztiaI,69,54,59,False,False,False,False
79565e82-7a1c-42c2-bc93-3aaf450dfa43,RANKED_SOLO_5x5,GOLD,I,Dt4vsFjr_o_1FKiSb9Baj43BxnNG201YFzyHomDNsLQ39k3a,11,57,59,False,False,True,False
7e88f178-b1ac-4383-b108-c4a7ecc52007,RANKED_SOLO_5x5,GOLD,I,VCKTYrwEW8nabZ9ZsnNmTLiUs7Ee3wuWBa9YdEes3vK_ywhw,75,57,22,False,False,False,False
b2393503-73d1-4797-879e-b6e4327de773,RANKED_SOLO_5x5,GOLD,I,-v9DlknxLrO2PxaDu1KNbkVpZSm6EH8HO-IcrYq_n4YXHj4Z,25,9,1,False,False,False,False
