match_id,blue_team_champs,red_team_champs,blue_win
NA1_5011938449,"Skarner,Hecarim,Kassadin,Kaisa,Alistar","Nasus,Kayn,Xerath,Ashe,Pyke",True
NA1_5153490726,"Ambessa,Briar,Diana,Caitlyn,Milio","Illaoi,Nunu,Ahri,Sivir,Sona",True
NA1_5167223711,"Poppy,Shyvana,Ahri,Lucian,Vex","Tryndamere,Hecarim,Katarina,Corki,Sett",False
NA1_5081790981,"Gnar,Hecarim,TwistedFate,Seraphine,Nami","Kennen,Kayn,Zed,MissFortune,Xerath",False
NA1_5171431769,"Illaoi,Amumu,AurelionSol,Ezreal,Taric","Malphite,Graves,Lux,Vayne,Rakan",False
NA1_5158000577,"Fiora,MonkeyKing,TwistedFate,Ezreal,Blitzcrank","Ambessa,Diana,Lissandra,Twitch,Nami",True
NA1_5156241071,"Ambessa,Kayn,Zoe,Caitlyn,Thresh","Pantheon,Naafiri,Malzahar,Tristana,Sylas",True
NA1_5176965843,"Riven,Kindred,Veigar,Sivir,Braum","MonkeyKing,Shaco,Vex,Jinx,Lulu",False
NA1_4760937808,"Evelynn,Naafiri,Ahri,Xayah,Sona","KSante,JarvanIV,Xerath,Draven,Pyke",False
NA1_5122091861,"Garen,Sejuani,Katarina,Kaisa,Thresh","Renekton,XinZhao,Ryze,Vayne,Velkoz",True
NA1_5157670070,"Nasus,Lillia,Diana,Jinx,Janna","KSante,Singed,Anivia,MissFortune,Lux",True
NA1_5166101344,"Gwen,Skarner,Malzahar,Lucian,Milio","Gragas,Karthus,Talon,MissFortune,Taric",False
NA1_5143911987,"Aatrox,Gragas,Zed,Jinx,Seraphine","Tryndamere,Zac,Galio,Varus,Renata",True
NA1_5156190807,"Kayle,Talon,AurelionSol,Jhin,Seraphine","Yasuo,Warwick,Sett,MissFortune,Sona",False
NA1_5148964693,"Sion,Nocturne,Katarina,Nilah,Rakan","Darius,Trundle,Swain,Jinx,Teemo",False
NA1_5159979025,"TahmKench,Warwick,Hwei,Sivir,Heimerdinger","Malphite,Kayn,Smolder,Zyra,Lulu",True
